Outcode,Postal Code,Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
W41,1,1,1,1,1,1,1,1,1,1,1,1
W42,1,1,1,1,1,1,1,1,1,1,1,1
W43,1,1,1,1,1,1,1,1,1,1,1,1
W44,1,1,1,1,1,1,1,1,1,1,1,1
TW47,1,1,1,1,1,1,1,1,1,1,1,1
TW46,1,1,1,1,1,1,1,1,1,1,1,1
TW45,1,1,1,1,1,1,1,1,1,1,1,1
SW61,1,1,1,1,1,1,1,1,1,1,1,1
SW40,1,1,1,1,1,1,1,1,1,1,1,1
SW46,1,1,1,1,1,1,1,1,1,1,1,1
SW47,1,1,1,1,1,1,1,1,1,1,1,1
SW48,1,1,1,1,1,1,1,1,1,1,1,1
SW49,1,1,1,1,1,1,1,1,1,1,1,1
SW50,1,1,1,1,1,1,1,1,1,1,1,1
SW59,1,1,1,1,1,1,1,1,1,1,1,1
SW62,1,1,1,1,1,1,1,1,1,1,1,1
SW35,1,1,1,1,1,1,1,1,1,1,1,1
SW63,1,1,1,1,1,1,1,1,1,1,1,1
SW64,1,1,1,1,1,1,1,1,1,1,1,1
SW65,1,1,1,1,1,1,1,1,1,1,1,1
SW66,1,1,1,1,1,1,1,1,1,1,1,1
SW67,1,1,1,1,1,1,1,1,1,1,1,1
SW71,1,1,1,1,1,1,1,1,1,1,1,1
SW72,1,1,1,1,1,1,1,1,1,1,1,1
SW36,1,1,1,1,1,1,1,1,1,1,1,1
SW34,1,1,1,1,1,1,1,1,1,1,1,1
SW74,1,1,1,1,1,1,1,1,1,1,1,1
SW208,1,1,1,1,1,1,1,1,1,1,1,1
SW193,1,1,1,1,1,1,1,1,1,1,1,1
NW62,1,1,1,1,1,1,1,1,1,1,1,1
SW195,1,1,1,1,1,1,1,1,1,1,1,1
SW196,1,1,1,1,1,1,1,1,1,1,1,1
SW197,1,1,1,1,1,1,1,1,1,1,1,1
SW198,1,1,1,1,1,1,1,1,1,1,1,1
SW200,1,1,1,1,1,1,1,1,1,1,1,1
SW209,1,1,1,1,1,1,1,1,1,1,1,1
SW33,1,1,1,1,1,1,1,1,1,1,1,1
SW21,1,1,1,1,1,1,1,1,1,1,1,1
SW22,1,1,1,1,1,1,1,1,1,1,1,1
SW23,1,1,1,1,1,1,1,1,1,1,1,1
SW24,1,1,1,1,1,1,1,1,1,1,1,1
SW25,1,1,1,1,1,1,1,1,1,1,1,1
SW31,1,1,1,1,1,1,1,1,1,1,1,1
SW32,1,1,1,1,1,1,1,1,1,1,1,1
SW73,1,1,1,1,1,1,1,1,1,1,1,1
SW75,1,1,1,1,1,1,1,1,1,1,1,1
TW34,1,1,1,1,1,1,1,1,1,1,1,1
TW140,1,1,1,1,1,1,1,1,1,1,1,1
TW123,1,1,1,1,1,1,1,1,1,1,1,1
TW13,1,1,1,1,1,1,1,1,1,1,1,1
TW134,1,1,1,1,1,1,1,1,1,1,1,1
TW135,1,1,1,1,1,1,1,1,1,1,1,1
TW136,1,1,1,1,1,1,1,1,1,1,1,1
TW137,1,1,1,1,1,1,1,1,1,1,1,1
TW14,1,1,1,1,1,1,1,1,1,1,1,1
TW148,1,1,1,1,1,1,1,1,1,1,1,1
TW121,1,1,1,1,1,1,1,1,1,1,1,1
TW149,1,1,1,1,1,1,1,1,1,1,1,1
TW25,1,1,1,1,1,1,1,1,1,1,1,1
TW26,1,1,1,1,1,1,1,1,1,1,1,1
TW27,1,1,1,1,1,1,1,1,1,1,1,1
TW31,1,1,1,1,1,1,1,1,1,1,1,1
TW32,1,1,1,1,1,1,1,1,1,1,1,1
TW33,1,1,1,1,1,1,1,1,1,1,1,1
TW122,1,1,1,1,1,1,1,1,1,1,1,1
TW12,1,1,1,1,1,1,1,1,1,1,1,1
SW81,1,1,1,1,1,1,1,1,1,1,1,1
SW98,1,1,1,1,1,1,1,1,1,1,1,1
SW82,1,1,1,1,1,1,1,1,1,1,1,1
SW83,1,1,1,1,1,1,1,1,1,1,1,1
SW84,1,1,1,1,1,1,1,1,1,1,1,1
SW85,1,1,1,1,1,1,1,1,1,1,1,1
SW90,1,1,1,1,1,1,1,1,1,1,1,1
SW96,1,1,1,1,1,1,1,1,1,1,1,1
SW97,1,1,1,1,1,1,1,1,1,1,1,1
SW99,1,1,1,1,1,1,1,1,1,1,1,1
TW119,1,1,1,1,1,1,1,1,1,1,1,1
TN163,1,1,1,1,1,1,1,1,1,1,1,1
TW105,1,1,1,1,1,1,1,1,1,1,1,1
TW106,1,1,1,1,1,1,1,1,1,1,1,1
TW107,1,1,1,1,1,1,1,1,1,1,1,1
TW11,1,1,1,1,1,1,1,1,1,1,1,1
TW110,1,1,1,1,1,1,1,1,1,1,1,1
TW118,1,1,1,1,1,1,1,1,1,1,1,1
NW63,1,1,1,1,1,1,1,1,1,1,1,1
BR11,1,1,1,1,1,1,1,1,1,1,1,1
NW61,1,1,1,1,1,1,1,1,1,1,1,1
E148,1,1,1,1,1,1,1,1,1,1,1,1
E182,1,1,1,1,1,1,1,1,1,1,1,1
E20,1,1,1,1,1,1,1,1,1,1,1,1
E26,1,1,1,1,1,1,1,1,1,1,1,1
E27,1,1,1,1,1,1,1,1,1,1,1,1
E28,1,1,1,1,1,1,1,1,1,1,1,1
E29,1,1,1,1,1,1,1,1,1,1,1,1
E32,1,1,1,1,1,1,1,1,1,1,1,1
E33,1,1,1,1,1,1,1,1,1,1,1,1
E34,1,1,1,1,1,1,1,1,1,1,1,1
E35,1,1,1,1,1,1,1,1,1,1,1,1
E46,1,1,1,1,1,1,1,1,1,1,1,1
E47,1,1,1,1,1,1,1,1,1,1,1,1
E48,1,1,1,1,1,1,1,1,1,1,1,1
E49,1,1,1,1,1,1,1,1,1,1,1,1
E50,1,1,1,1,1,1,1,1,1,1,1,1
E58,1,1,1,1,1,1,1,1,1,1,1,1
E59,1,1,1,1,1,1,1,1,1,1,1,1
E181,1,1,1,1,1,1,1,1,1,1,1,1
E18,1,1,1,1,1,1,1,1,1,1,1,1
E179,1,1,1,1,1,1,1,1,1,1,1,1
E162,1,1,1,1,1,1,1,1,1,1,1,1
E15,1,1,1,1,1,1,1,1,1,1,1,1
E151,1,1,1,1,1,1,1,1,1,1,1,1
E152,1,1,1,1,1,1,1,1,1,1,1,1
E153,1,1,1,1,1,1,1,1,1,1,1,1
E154,1,1,1,1,1,1,1,1,1,1,1,1
E16,1,1,1,1,1,1,1,1,1,1,1,1
E161,1,1,1,1,1,1,1,1,1,1,1,1
E163,1,1,1,1,1,1,1,1,1,1,1,1
E178,1,1,1,1,1,1,1,1,1,1,1,1
E164,1,1,1,1,1,1,1,1,1,1,1,1
E17,1,1,1,1,1,1,1,1,1,1,1,1
E173,1,1,1,1,1,1,1,1,1,1,1,1
E174,1,1,1,1,1,1,1,1,1,1,1,1
E175,1,1,1,1,1,1,1,1,1,1,1,1
E176,1,1,1,1,1,1,1,1,1,1,1,1
E177,1,1,1,1,1,1,1,1,1,1,1,1
E61,1,1,1,1,1,1,1,1,1,1,1,1
E62,1,1,1,1,1,1,1,1,1,1,1,1
E63,1,1,1,1,1,1,1,1,1,1,1,1
EN51,1,1,1,1,1,1,1,1,1,1,1,1
EN34,1,1,1,1,1,1,1,1,1,1,1,1
EN35,1,1,1,1,1,1,1,1,1,1,1,1
EN36,1,1,1,1,1,1,1,1,1,1,1,1
EN37,1,1,1,1,1,1,1,1,1,1,1,1
EN40,1,1,1,1,1,1,1,1,1,1,1,1
EN48,1,1,1,1,1,1,1,1,1,1,1,1
EN49,1,1,1,1,1,1,1,1,1,1,1,1
EN52,1,1,1,1,1,1,1,1,1,1,1,1
EN28,1,1,1,1,1,1,1,1,1,1,1,1
EN53,1,1,1,1,1,1,1,1,1,1,1,1
EN54,1,1,1,1,1,1,1,1,1,1,1,1
EN55,1,1,1,1,1,1,1,1,1,1,1,1
HA01,1,1,1,1,1,1,1,1,1,1,1,1
HA02,1,1,1,1,1,1,1,1,1,1,1,1
HA03,1,1,1,1,1,1,1,1,1,1,1,1
HA04,1,1,1,1,1,1,1,1,1,1,1,1
EN29,1,1,1,1,1,1,1,1,1,1,1,1
EN27,1,1,1,1,1,1,1,1,1,1,1,1
E65,1,1,1,1,1,1,1,1,1,1,1,1
E84,1,1,1,1,1,1,1,1,1,1,1,1
E66,1,1,1,1,1,1,1,1,1,1,1,1
E70,1,1,1,1,1,1,1,1,1,1,1,1
E78,1,1,1,1,1,1,1,1,1,1,1,1
E79,1,1,1,1,1,1,1,1,1,1,1,1
E81,1,1,1,1,1,1,1,1,1,1,1,1
E82,1,1,1,1,1,1,1,1,1,1,1,1
E83,1,1,1,1,1,1,1,1,1,1,1,1
E95,1,1,1,1,1,1,1,1,1,1,1,1
EN26,1,1,1,1,1,1,1,1,1,1,1,1
E96,1,1,1,1,1,1,1,1,1,1,1,1
E97,1,1,1,1,1,1,1,1,1,1,1,1
EN11,1,1,1,1,1,1,1,1,1,1,1,1
EN12,1,1,1,1,1,1,1,1,1,1,1,1
EN13,1,1,1,1,1,1,1,1,1,1,1,1
EN14,1,1,1,1,1,1,1,1,1,1,1,1
EN20,1,1,1,1,1,1,1,1,1,1,1,1
E149,1,1,1,1,1,1,1,1,1,1,1,1
E147,1,1,1,1,1,1,1,1,1,1,1,1
HA80,1,1,1,1,1,1,1,1,1,1,1,1
E146,1,1,1,1,1,1,1,1,1,1,1,1
BR66,1,1,1,1,1,1,1,1,1,1,1,1
BR67,1,1,1,1,1,1,1,1,1,1,1,1
BR68,1,1,1,1,1,1,1,1,1,1,1,1
BR69,1,1,1,1,1,1,1,1,1,1,1,1
BR75,1,1,1,1,1,1,1,1,1,1,1,1
BR76,1,1,1,1,1,1,1,1,1,1,1,1
CR00,1,1,1,1,1,1,1,1,1,1,1,1
CR01,1,1,1,1,1,1,1,1,1,1,1,1
CR02,1,1,1,1,1,1,1,1,1,1,1,1
CR03,1,1,1,1,1,1,1,1,1,1,1,1
CR04,1,1,1,1,1,1,1,1,1,1,1,1
CR05,1,1,1,1,1,1,1,1,1,1,1,1
CR06,1,1,1,1,1,1,1,1,1,1,1,1
CR07,1,1,1,1,1,1,1,1,1,1,1,1
CR08,1,1,1,1,1,1,1,1,1,1,1,1
CR09,1,1,1,1,1,1,1,1,1,1,1,1
CR20,1,1,1,1,1,1,1,1,1,1,1,1
BR60,1,1,1,1,1,1,1,1,1,1,1,1
BR54,1,1,1,1,1,1,1,1,1,1,1,1
BR53,1,1,1,1,1,1,1,1,1,1,1,1
BR29,1,1,1,1,1,1,1,1,1,1,1,1
BR13,1,1,1,1,1,1,1,1,1,1,1,1
BR14,1,1,1,1,1,1,1,1,1,1,1,1
BR15,1,1,1,1,1,1,1,1,1,1,1,1
BR20,1,1,1,1,1,1,1,1,1,1,1,1
BR26,1,1,1,1,1,1,1,1,1,1,1,1
BR27,1,1,1,1,1,1,1,1,1,1,1,1
BR28,1,1,1,1,1,1,1,1,1,1,1,1
BR31,1,1,1,1,1,1,1,1,1,1,1,1
BR52,1,1,1,1,1,1,1,1,1,1,1,1
BR33,1,1,1,1,1,1,1,1,1,1,1,1
BR34,1,1,1,1,1,1,1,1,1,1,1,1
BR35,1,1,1,1,1,1,1,1,1,1,1,1
BR36,1,1,1,1,1,1,1,1,1,1,1,1
BR40,1,1,1,1,1,1,1,1,1,1,1,1
BR49,1,1,1,1,1,1,1,1,1,1,1,1
BR51,1,1,1,1,1,1,1,1,1,1,1,1
CR26,1,1,1,1,1,1,1,1,1,1,1,1
CR27,1,1,1,1,1,1,1,1,1,1,1,1
CR28,1,1,1,1,1,1,1,1,1,1,1,1
E130,1,1,1,1,1,1,1,1,1,1,1,1
E112,1,1,1,1,1,1,1,1,1,1,1,1
E113,1,1,1,1,1,1,1,1,1,1,1,1
E114,1,1,1,1,1,1,1,1,1,1,1,1
E12,1,1,1,1,1,1,1,1,1,1,1,1
E125,1,1,1,1,1,1,1,1,1,1,1,1
E126,1,1,1,1,1,1,1,1,1,1,1,1
E13,1,1,1,1,1,1,1,1,1,1,1,1
E138,1,1,1,1,1,1,1,1,1,1,1,1
E11,1,1,1,1,1,1,1,1,1,1,1,1
E139,1,1,1,1,1,1,1,1,1,1,1,1
E14,1,1,1,1,1,1,1,1,1,1,1,1
E140,1,1,1,1,1,1,1,1,1,1,1,1
E142,1,1,1,1,1,1,1,1,1,1,1,1
E143,1,1,1,1,1,1,1,1,1,1,1,1
E144,1,1,1,1,1,1,1,1,1,1,1,1
E145,1,1,1,1,1,1,1,1,1,1,1,1
E111,1,1,1,1,1,1,1,1,1,1,1,1
E107,1,1,1,1,1,1,1,1,1,1,1,1
CR29,1,1,1,1,1,1,1,1,1,1,1,1
CR77,1,1,1,1,1,1,1,1,1,1,1,1
