Outcode,Postal Code,Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
N79,1,1,1,1,1,1,1,1,1,1,1,1
N80,1,1,1,1,1,1,1,1,1,1,1,1
N87,1,1,1,1,1,1,1,1,1,1,1,1
N88,1,1,1,1,1,1,1,1,1,1,1,1
N89,1,1,1,1,1,1,1,1,1,1,1,1
N90,1,1,1,1,1,1,1,1,1,1,1,1
N97,1,1,1,1,1,1,1,1,1,1,1,1
N98,1,1,1,1,1,1,1,1,1,1,1,1
N99,1,1,1,1,1,1,1,1,1,1,1,1
NW10,1,1,1,1,1,1,1,1,1,1,1,1
NW100,1,1,1,1,1,1,1,1,1,1,1,1
NW101,1,1,1,1,1,1,1,1,1,1,1,1
NW102,1,1,1,1,1,1,1,1,1,1,1,1
NW103,1,1,1,1,1,1,1,1,1,1,1,1
NW104,1,1,1,1,1,1,1,1,1,1,1,1
N76,1,1,1,1,1,1,1,1,1,1,1,1
N70,1,1,1,1,1,1,1,1,1,1,1,1
N66,1,1,1,1,1,1,1,1,1,1,1,1
N32,1,1,1,1,1,1,1,1,1,1,1,1
N225,1,1,1,1,1,1,1,1,1,1,1,1
N226,1,1,1,1,1,1,1,1,1,1,1,1
N227,1,1,1,1,1,1,1,1,1,1,1,1
N228,1,1,1,1,1,1,1,1,1,1,1,1
N28,1,1,1,1,1,1,1,1,1,1,1,1
N29,1,1,1,1,1,1,1,1,1,1,1,1
N31,1,1,1,1,1,1,1,1,1,1,1,1
N33,1,1,1,1,1,1,1,1,1,1,1,1
N65,1,1,1,1,1,1,1,1,1,1,1,1
N41,1,1,1,1,1,1,1,1,1,1,1,1
N42,1,1,1,1,1,1,1,1,1,1,1,1
N43,1,1,1,1,1,1,1,1,1,1,1,1
N44,1,1,1,1,1,1,1,1,1,1,1,1
N51,1,1,1,1,1,1,1,1,1,1,1,1
N52,1,1,1,1,1,1,1,1,1,1,1,1
N64,1,1,1,1,1,1,1,1,1,1,1,1
NW105,1,1,1,1,1,1,1,1,1,1,1,1
NW106,1,1,1,1,1,1,1,1,1,1,1,1
NW107,1,1,1,1,1,1,1,1,1,1,1,1
NW36,1,1,1,1,1,1,1,1,1,1,1,1
NW26,1,1,1,1,1,1,1,1,1,1,1,1
NW27,1,1,1,1,1,1,1,1,1,1,1,1
NW31,1,1,1,1,1,1,1,1,1,1,1,1
NW32,1,1,1,1,1,1,1,1,1,1,1,1
NW33,1,1,1,1,1,1,1,1,1,1,1,1
NW34,1,1,1,1,1,1,1,1,1,1,1,1
NW35,1,1,1,1,1,1,1,1,1,1,1,1
NW37,1,1,1,1,1,1,1,1,1,1,1,1
NW24,1,1,1,1,1,1,1,1,1,1,1,1
NW41,1,1,1,1,1,1,1,1,1,1,1,1
NW42,1,1,1,1,1,1,1,1,1,1,1,1
NW43,1,1,1,1,1,1,1,1,1,1,1,1
NW44,1,1,1,1,1,1,1,1,1,1,1,1
NW51,1,1,1,1,1,1,1,1,1,1,1,1
NW52,1,1,1,1,1,1,1,1,1,1,1,1
BR12,1,1,1,1,1,1,1,1,1,1,1,1
NW25,1,1,1,1,1,1,1,1,1,1,1,1
NW23,1,1,1,1,1,1,1,1,1,1,1,1
NW108,1,1,1,1,1,1,1,1,1,1,1,1
NW12,1,1,1,1,1,1,1,1,1,1,1,1
NW109,1,1,1,1,1,1,1,1,1,1,1,1
NW11,1,1,1,1,1,1,1,1,1,1,1,1
NW110,1,1,1,1,1,1,1,1,1,1,1,1
NW116,1,1,1,1,1,1,1,1,1,1,1,1
NW117,1,1,1,1,1,1,1,1,1,1,1,1
NW118,1,1,1,1,1,1,1,1,1,1,1,1
NW119,1,1,1,1,1,1,1,1,1,1,1,1
NW13,1,1,1,1,1,1,1,1,1,1,1,1
NW22,1,1,1,1,1,1,1,1,1,1,1,1
NW14,1,1,1,1,1,1,1,1,1,1,1,1
NW15,1,1,1,1,1,1,1,1,1,1,1,1
NW16,1,1,1,1,1,1,1,1,1,1,1,1
NW17,1,1,1,1,1,1,1,1,1,1,1,1
NW18,1,1,1,1,1,1,1,1,1,1,1,1
NW19,1,1,1,1,1,1,1,1,1,1,1,1
NW21,1,1,1,1,1,1,1,1,1,1,1,1
N213,1,1,1,1,1,1,1,1,1,1,1,1
N211,1,1,1,1,1,1,1,1,1,1,1,1
HA88,1,1,1,1,1,1,1,1,1,1,1,1
N209,1,1,1,1,1,1,1,1,1,1,1,1
IG80,1,1,1,1,1,1,1,1,1,1,1,1
IG87,1,1,1,1,1,1,1,1,1,1,1,1
IG88,1,1,1,1,1,1,1,1,1,1,1,1
IG89,1,1,1,1,1,1,1,1,1,1,1,1
KT14,1,1,1,1,1,1,1,1,1,1,1,1
KT36,1,1,1,1,1,1,1,1,1,1,1,1
N1,1,1,1,1,1,1,1,1,1,1,1,1
N10,1,1,1,1,1,1,1,1,1,1,1,1
N101,1,1,1,1,1,1,1,1,1,1,1,1
N102,1,1,1,1,1,1,1,1,1,1,1,1
N103,1,1,1,1,1,1,1,1,1,1,1,1
N11,1,1,1,1,1,1,1,1,1,1,1,1
N111,1,1,1,1,1,1,1,1,1,1,1,1
N112,1,1,1,1,1,1,1,1,1,1,1,1
N113,1,1,1,1,1,1,1,1,1,1,1,1
N12,1,1,1,1,1,1,1,1,1,1,1,1
N120,1,1,1,1,1,1,1,1,1,1,1,1
IG74,1,1,1,1,1,1,1,1,1,1,1,1
IG63,1,1,1,1,1,1,1,1,1,1,1,1
IG62,1,1,1,1,1,1,1,1,1,1,1,1
IG12,1,1,1,1,1,1,1,1,1,1,1,1
HA89,1,1,1,1,1,1,1,1,1,1,1,1
HA90,1,1,1,1,1,1,1,1,1,1,1,1
HA96,1,1,1,1,1,1,1,1,1,1,1,1
HA97,1,1,1,1,1,1,1,1,1,1,1,1
HA98,1,1,1,1,1,1,1,1,1,1,1,1
HA99,1,1,1,1,1,1,1,1,1,1,1,1
IG11,1,1,1,1,1,1,1,1,1,1,1,1
IG13,1,1,1,1,1,1,1,1,1,1,1,1
IG61,1,1,1,1,1,1,1,1,1,1,1,1
IG14,1,1,1,1,1,1,1,1,1,1,1,1
IG26,1,1,1,1,1,1,1,1,1,1,1,1
IG27,1,1,1,1,1,1,1,1,1,1,1,1
IG38,1,1,1,1,1,1,1,1,1,1,1,1
IG39,1,1,1,1,1,1,1,1,1,1,1,1
IG45,1,1,1,1,1,1,1,1,1,1,1,1
IG50,1,1,1,1,1,1,1,1,1,1,1,1
N127,1,1,1,1,1,1,1,1,1,1,1,1
N128,1,1,1,1,1,1,1,1,1,1,1,1
N129,1,1,1,1,1,1,1,1,1,1,1,1
N181,1,1,1,1,1,1,1,1,1,1,1,1
N17,1,1,1,1,1,1,1,1,1,1,1,1
N170,1,1,1,1,1,1,1,1,1,1,1,1
N176,1,1,1,1,1,1,1,1,1,1,1,1
N177,1,1,1,1,1,1,1,1,1,1,1,1
N178,1,1,1,1,1,1,1,1,1,1,1,1
N179,1,1,1,1,1,1,1,1,1,1,1,1
N18,1,1,1,1,1,1,1,1,1,1,1,1
N182,1,1,1,1,1,1,1,1,1,1,1,1
N168,1,1,1,1,1,1,1,1,1,1,1,1
N19,1,1,1,1,1,1,1,1,1,1,1,1
N193,1,1,1,1,1,1,1,1,1,1,1,1
N194,1,1,1,1,1,1,1,1,1,1,1,1
N195,1,1,1,1,1,1,1,1,1,1,1,1
N20,1,1,1,1,1,1,1,1,1,1,1,1
N200,1,1,1,1,1,1,1,1,1,1,1,1
N208,1,1,1,1,1,1,1,1,1,1,1,1
N169,1,1,1,1,1,1,1,1,1,1,1,1
N167,1,1,1,1,1,1,1,1,1,1,1,1
N13,1,1,1,1,1,1,1,1,1,1,1,1
N147,1,1,1,1,1,1,1,1,1,1,1,1
N134,1,1,1,1,1,1,1,1,1,1,1,1
N135,1,1,1,1,1,1,1,1,1,1,1,1
N136,1,1,1,1,1,1,1,1,1,1,1,1
N14,1,1,1,1,1,1,1,1,1,1,1,1
N144,1,1,1,1,1,1,1,1,1,1,1,1
N145,1,1,1,1,1,1,1,1,1,1,1,1
N146,1,1,1,1,1,1,1,1,1,1,1,1
N15,1,1,1,1,1,1,1,1,1,1,1,1
N166,1,1,1,1,1,1,1,1,1,1,1,1
N153,1,1,1,1,1,1,1,1,1,1,1,1
N154,1,1,1,1,1,1,1,1,1,1,1,1
N155,1,1,1,1,1,1,1,1,1,1,1,1
N156,1,1,1,1,1,1,1,1,1,1,1,1
N16,1,1,1,1,1,1,1,1,1,1,1,1
N160,1,1,1,1,1,1,1,1,1,1,1,1
N165,1,1,1,1,1,1,1,1,1,1,1,1
NW53,1,1,1,1,1,1,1,1,1,1,1,1
